wo_serial,wo_deal_name,wo_customer_code,wo_normalized_client,wo_sector,wo_owner,wo_po_date,matched_deal_row_id,matched_deal_name,matched_client_code,matched_deal_sector,matched_deal_owner,matched_deal_status,matched_deal_date,confidence_tier,match_score,match_notes
SDPLDEAL-131,Sakura,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-09-17,,,,,,,,UNMATCHED,75.0,"Ambiguous multiple candidates (best score 75, runner-up 65, margin 10)"
SDPLDEAL-132,Sakura,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-09-17,,,,,,,,UNMATCHED,75.0,"Ambiguous multiple candidates (best score 75, runner-up 65, margin 10)"
SDPLDEAL-134,Gojo,WOCOMPANY_005,COMPANY005,Mining,OWNER_001,2025-09-20,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-133,Faye Valentine,WOCOMPANY_010,COMPANY010,Renewables,OWNER_003,2024-07-19,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-135,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-07-25,,,,,,,,UNMATCHED,135.0,"Ambiguous multiple candidates (best score 135, runner-up 128, margin 7)"
SDPLDEAL-136,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-09-27,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-137,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-09-27,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-138,Alias_160,WOCOMPANY_051,COMPANY051,Mining,OWNER_001,2025-09-19,320.0,Alias_160,COMPANY084,Mining,OWNER_001,Won,2025-09-21,MATCHED_HIGH,135.0,"High confidence composite match (135 pts, margin 15): Exact Deal Name; Matching Sector; Matching Owner; Status: Won; Date within 2d"
SDPLDEAL-139,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-10-03,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-140,Trunks,WOCOMPANY_015,COMPANY015,Railways,OWNER_003,2025-10-08,,,,,,,,UNMATCHED,-10.0,Below confidence threshold (best score -10): Exact Deal Name; Conflicting Sector; Matching Owner; Dead Deal Status
SDPLDEAL-141,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-10-09,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-142,Inuyasha,WOCOMPANY_016,COMPANY016,Renewables,OWNER_003,2025-10-14,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-143,Patrick Star,WOCOMPANY_030,COMPANY030,Others,OWNER_001,2025-10-16,,,,,,,,UNMATCHED,30.0,Below confidence threshold (best score 30): Exact Deal Name; Conflicting Sector; Status: Won
SDPLDEAL-144,Kaguya,WOCOMPANY_014,COMPANY014,Railways,OWNER_003,2025-10-27,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-145,Sakura,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-10-27,,,,,,,,UNMATCHED,75.0,"Ambiguous multiple candidates (best score 75, runner-up 65, margin 10)"
